participant, timestamp, chart, elements, trial, sequence, file, time, feedback
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 1, 0, s1_0_t1rt2rt3l, 3938.4649999993, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 2, 1, s1_1_t1rt2rt3l, 612.86500000278, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 3, 2, s1_2_t1rt2rt3l, 672.4549999999, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 4, 3, s1_3_t1rt2rt3l, 838.52499999921, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 5, 4, s1_4_t1rt2rt3l, 760.27500000055, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 6, 5, s1_5_t1lt2rt3l, 807.46999999974, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 7, 6, s1_6_t1lt2rt3l, 800.26499999803, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 8, 7, s1_7_t1lt2rt3l, 769.10000000134, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 9, 8, s1_8_t1lt2rt3l, 942.63499999943, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 10, 9, s1_9_t1lt2rt3l, 920.83500000081, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 11, 10, s1_10_t1rt2rt3r, 793.10999999871, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 12, 11, s1_11_t1rt2rt3r, 814.29000000207, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 13, 12, s1_12_t1rt2rt3r, 785.93499999988, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 14, 13, s1_13_t1rt2rt3r, 926.91500000001, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 15, 14, s1_14_t1rt2rt3r, 856.79999999775, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 16, 15, s1_15_t1lt2rt3r, 902.12000000247, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 17, 16, s1_16_t1lt2rt3r, 769.46499999758, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 18, 17, s1_17_t1lt2rt3r, 742.53999999928, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 19, 18, s1_18_t1lt2rt3r, 840.66499999972, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 20, 19, s1_19_t1lt2rt3r, 887.31500000358, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 21, 20, s1_20_t1rt2lt3l, 823.61999999921, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 22, 21, s1_21_t1rt2lt3l, 817.82000000021, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 23, 22, s1_22_t1rt2lt3l, 750.32499999725, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 24, 23, s1_23_t1rt2lt3l, 696.47000000259, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 25, 24, s1_24_t1rt2lt3l, 712.84000000014, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 26, 25, s1_25_t1lt2lt3l, 711.18500000011, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 27, 26, s1_26_t1lt2lt3l, 751.98499999897, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 28, 27, s1_27_t1lt2lt3l, 695.89500000075, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 29, 28, s1_28_t1lt2lt3l, 704.01499999934, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 30, 29, s1_29_t1lt2lt3l, 727.80499999863, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 31, 30, s1_30_t1rt2lt3r, 1064.6450000022, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 32, 31, s1_31_t1rt2lt3r, 984.56499999884, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 33, 32, s1_32_t1rt2lt3r, 726.84500000105, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 34, 33, s1_33_t1rt2lt3r, 728.17500000019, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 35, 34, s1_34_t1rt2lt3r, 768.04499999707, error
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 36, 35, s1_35_t1lt2lt3r, 704.8300000024, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 37, 36, s1_36_t1lt2lt3r, 695.42999999976, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 38, 37, s1_37_t1lt2lt3r, 736.70000000129, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 39, 38, s1_38_t1lt2lt3r, 710.91499999966, correct
DEBUG, 2020-11-09T17:54:46+0100, s1, t1, 40, 39, s1_39_t1lt2lt3r, 761.7199999986, correct
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 1, 16, s1_16_t1lt2rt3r, 2650.995, correct
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 2, 28, s1_28_t1lt2lt3l, 987.23000000246, correct
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 3, 24, s1_24_t1rt2lt3l, 856.46999999881, error
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 4, 20, s1_20_t1rt2lt3l, 872.36000000121, error
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 5, 36, s1_36_t1lt2lt3r, 951.85499999934, correct
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 6, 32, s1_32_t1rt2lt3r, 871.85500000123, error
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 7, 4, s1_4_t1rt2rt3l, 791.79499999736, error
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 8, 8, s1_8_t1lt2rt3l, 768.0500000024, correct
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 9, 12, s1_12_t1rt2rt3r, 927.73999999918, error
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 10, 0, s1_0_t1rt2rt3l, 825.55499999944, error
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 11, 16, s1_16_t1lt2rt3r, 894.11000000109, correct
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 12, 8, s1_8_t1lt2rt3l, 873.5549999983, correct
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 13, 28, s1_28_t1lt2lt3l, 1071.100000001, correct
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 14, 0, s1_0_t1rt2rt3l, 864.98999999822, error
DEBUG, 2020-11-10T17:05:10+0100, s1, t1, 15, 24, s1_24_t1rt2lt3l, 1070.8700000032, error
